         filenames tabloid non_tabloid is_tabloid
173 4515670555.txt       0           2      FALSE
174 3119877441.txt       0           3      FALSE
175 5541118748.txt       1           1       TRUE
176 3498282170.txt       2           0       TRUE
177 4058239033.txt       1           0       TRUE
178 4056633744.txt       1           0       TRUE
179 2071994844.txt       3           0       TRUE
180 1970631088.txt       1           0       TRUE
181 4501704920.txt       1           0       TRUE
182 4020861971.txt       1           1      FALSE
183 2215107988.txt       1           1      FALSE
184 4835050862.txt       2           0       TRUE
185 4532601111.txt       2           1       TRUE
186 5072535758.txt       1           1      FALSE
187 3487698093.txt       1           0       TRUE
188 2935765304.txt       0           2      FALSE
189 6098219508.txt       0           3      FALSE
190 5093877995.txt       0           1      FALSE
191 2027881867.txt       0           4      FALSE
192 2352460094.txt       0           1      FALSE
193 4761951087.txt       1           0       TRUE
194 4673667464.txt       0           3      FALSE
195 5876507126.txt       0           1      FALSE
196 3770979065.txt       0           1      FALSE
197 3502416177.txt       1           0       TRUE
198 1988147216.txt       0           1      FALSE
199 4090424355.txt       0           1      FALSE
200 2077355190.txt       0           3      FALSE
201 3952487384.txt       2           0       TRUE
202 3354749758.txt       0           1      FALSE
203 5248254290.txt       0           2      FALSE
204 5080717948.txt       1           1      FALSE
205 3035138958.txt       1           0       TRUE
206 2288006582.txt       0           1      FALSE
207 4996066793.txt       0           2      FALSE
208 4181183083.txt       0           3      FALSE
209 2619597691.txt       0           2      FALSE
210 5200076055.txt       2           0       TRUE
211 5796530392.txt       1           3      FALSE
212 4426647098.txt       0           2      FALSE
213 5954142835.txt       0           3      FALSE
214 3429083801.txt       0           2      FALSE
215 4154827762.txt       0           2      FALSE
216 3890950205.txt       1           1      FALSE
217 6134445870.txt       1           0       TRUE
218 3145645483.txt       0           1      FALSE
219 3451562549.txt       1           1      FALSE
220 3072390224.txt       0           1      FALSE
221 3315641527.txt       2           1       TRUE
222 2576286411.txt       0           1      FALSE
223 2533228238.txt       0           3      FALSE
224 3383075344.txt       2           0       TRUE
225 3220071448.txt       1           0       TRUE
226 3026609436.txt       2           2       TRUE
227 5693482340.txt       3           0       TRUE
228 4127825933.txt       1           1       TRUE
229 3866842347.txt       0           1      FALSE
230 3583133065.txt       1           1      FALSE
231 2198260241.txt       3           0       TRUE
232 2667349368.txt       0           1      FALSE
233 4374438032.txt       0           1      FALSE
234 2829514694.txt       0           1      FALSE
235 3286377097.txt       0           1      FALSE
236 2504542145.txt       1           0       TRUE
237 4472572614.txt       0           3      FALSE
238 4210087698.txt       0           1      FALSE
239 3329138381.txt       0           1      FALSE
240 5952090485.txt       0           1      FALSE
241 3223389557.txt       0           3      FALSE
242 5674113824.txt       0           2      FALSE
243 5148374885.txt       0           2      FALSE
244 4813251126.txt       0           1      FALSE
245 4254904078.txt       1           0       TRUE
246 5238659809.txt       2           0       TRUE
247 2843630581.txt       0           4      FALSE
248 3944739540.txt       0           1      FALSE
249 3646749369.txt       1           2      FALSE
250 5827772232.txt       1           0       TRUE
251 4011979336.txt       1           1      FALSE
252 5781618736.txt       2           1       TRUE
253 4077698866.txt       1           0       TRUE
254 3797755979.txt       2           0       TRUE
255 4592174208.txt       0           2      FALSE
256 2408204897.txt       1           0       TRUE
257 3944591013.txt       1           2      FALSE
258 2169447966.txt       3           0       TRUE
259 3938173941.txt       2           0       TRUE
260 5528232100.txt       1           0       TRUE
261 2600666171.txt       1           3      FALSE
262 3810234041.txt       1           1      FALSE
263 4396763851.txt       1           0       TRUE
264 2438573239.txt       1           0       TRUE
265 4834576648.txt       1           0       TRUE
266 4471500181.txt       0           2      FALSE
267 5686064956.txt       0           1      FALSE
268 5360558825.txt       0           1      FALSE
269 6003877825.txt       0           2      FALSE
270 4999157242.txt       1           1       TRUE
271 2735614275.txt       0           3      FALSE
272 5093128959.txt       1           0       TRUE
273 4323211023.txt       0           4      FALSE
274 5439760758.txt       0           1      FALSE
275 4931163397.txt       3           0       TRUE
276 4462343414.txt       0           2      FALSE
277 2552650066.txt       0           1      FALSE
278 4004649251.txt       0           1      FALSE
279 4594614275.txt       1           1       TRUE
280 4619661989.txt       0           2      FALSE
281 4370667993.txt       2           0       TRUE
282 2559878140.txt       0           2      FALSE
283 5084649210.txt       0           1      FALSE
284 5893947232.txt       1           2      FALSE
285 5747555818.txt       0           2      FALSE
286 5700469468.txt       1           0       TRUE
287 5377849824.txt       2           0       TRUE
288 5778393217.txt       1           3      FALSE
289 3491855227.txt       0           1      FALSE
290 5161200737.txt       0           1      FALSE
291 3981597783.txt       0           1      FALSE
292 2113830444.txt       0           2      FALSE
293 4074931869.txt       0           2      FALSE
294 2775479241.txt       0           3      FALSE
295 5041392079.txt       0           2      FALSE
296 4408238626.txt       0           3      FALSE
297 2337763924.txt       2           0       TRUE
298 2077558488.txt       0           3      FALSE
299 3815572686.txt       0           5      FALSE
300 3173649434.txt       0           2      FALSE
301 2631911956.txt       0           2      FALSE
302 5260435073.txt       0           2      FALSE
303 3353530443.txt       0           3      FALSE
304 3924497222.txt       1           6      FALSE
305 5512352434.txt       3           0       TRUE
306 4464393753.txt       0           1      FALSE
307 4136453249.txt       1           1       TRUE
308 5960928335.txt       1           0       TRUE
309 4040201952.txt       0           2      FALSE
310 2433882310.txt       0           1      FALSE
311 4224034739.txt       0           2      FALSE
312 3699557163.txt       0           2      FALSE
313 5891941918.txt       0           1      FALSE
314 5673922535.txt       0           2      FALSE
315 4460597447.txt       0           1      FALSE
316 6037826462.txt       0           1      FALSE
317 5326538690.txt       2           1       TRUE
318 3339549204.txt       0           2      FALSE
319 3772333441.txt       0           1      FALSE
320 4702839784.txt       3           0       TRUE
321 4417860210.txt       0           2      FALSE
322 4037959625.txt       1           2      FALSE
323 5999233478.txt       1           2      FALSE
324 5335418980.txt       1           2      FALSE
325 4650182810.txt       1           3      FALSE
326 4898985968.txt       1           1      FALSE
327 4275068396.txt       2           1       TRUE
328 2861544254.txt       0           2      FALSE
329 1925132074.txt       0           2      FALSE
330 5452685613.txt       0           1      FALSE
331 4940028855.txt       0           1      FALSE
332 2193930483.txt       1           0       TRUE
333 3391511266.txt       0           1      FALSE
334 2002544949.txt       2           0       TRUE
335 4438839576.txt       1           1      FALSE
336 5936592714.txt       0           2      FALSE
337 5797876616.txt       1           2      FALSE
338 5098528826.txt       0           1      FALSE
339 2049853360.txt       0           1      FALSE
340 5882748745.txt       0           1      FALSE
341 3852127214.txt       1           1      FALSE
342 2033398950.txt       0           2      FALSE
343 5763873655.txt       0           3      FALSE
344 4593502788.txt       0           1      FALSE
345 3377290147.txt       1           0       TRUE
346 3544518750.txt       0           1      FALSE
347 6100337110.txt       0           2      FALSE
348 3929386825.txt       2           1       TRUE
349 2340317916.txt       0           3      FALSE
350 3968765149.txt       1           0       TRUE
351 4425213959.txt       0           1      FALSE
352 4173571299.txt       0           2      FALSE
353 4290437889.txt       0           1      FALSE
354 5375383625.txt       0           2      FALSE
355 5631243159.txt       2           0       TRUE
356 2652057237.txt       1           1      FALSE
357 2403899849.txt       0           1      FALSE
358 3600388659.txt       1           0       TRUE
359 3030757363.txt       1           0       TRUE
360 6132173844.txt       1           1      FALSE
361 4539580179.txt       2           0       TRUE
362 4442918884.txt       0           1      FALSE
363 3773921881.txt       0           2      FALSE
364 2562463715.txt       1           0       TRUE
365 3199137728.txt       1           0       TRUE
366 2913417366.txt       1           2      FALSE
367 4211504436.txt       1           0       TRUE
368 5942189850.txt       1           0       TRUE
369 4920114873.txt       2           0       TRUE
370 4940582277.txt       1           0       TRUE
371 3780255610.txt       1           1      FALSE
372 5713535031.txt       0           1      FALSE
373 5306696917.txt       0           1      FALSE
374 2690095779.txt       1           1      FALSE
375 4866474762.txt       1           1       TRUE
376 4141724306.txt       1           1       TRUE
377 5736783827.txt       1           0       TRUE
378 3075009793.txt       1           2      FALSE
379 5207264860.txt       1           0       TRUE
380 5131501137.txt       2           1       TRUE
381 3707718569.txt       0           3      FALSE
382 4742097967.txt       1           2      FALSE
383 4439343956.txt       1           0       TRUE
384 4171701643.txt       3           2       TRUE
385 1937903769.txt       1           0       TRUE
386 5394367790.txt       0           1      FALSE
387 4008952819.txt       3           0       TRUE
388 5450964465.txt       1           2      FALSE
389 4108768571.txt       2           0       TRUE
390 2077609642.txt       0           1      FALSE
391 5594018922.txt       2           1       TRUE
392 6062685606.txt       1           0       TRUE
393 3386594070.txt       2           0       TRUE
394 3116994322.txt       0           1      FALSE
395 4130359723.txt       3           0       TRUE
396 3718196366.txt       0           2      FALSE
397 4039310712.txt       1           0       TRUE
398 2087130622.txt       2           2      FALSE
399 2913851711.txt       1           0       TRUE
400 5949157188.txt       2           1       TRUE
401 4450666183.txt       1           0       TRUE
402 3833663658.txt       1           1       TRUE
403 5983282009.txt       1           0       TRUE
404 1943353948.txt       0           1      FALSE
405 2886783050.txt       0           1      FALSE
406 2996052161.txt       0           1      FALSE
407 5469723117.txt       0           3      FALSE
408 5779433363.txt       2           0       TRUE
409 4047220285.txt       2           0       TRUE
410 2821771041.txt       0           2      FALSE
411 5410315818.txt       0           3      FALSE
412 2425640485.txt       0           1      FALSE
413 4622097724.txt       0           2      FALSE
414 6000885969.txt       3           0       TRUE
415 3279950380.txt       0           2      FALSE
416 5669954233.txt       0           2      FALSE
417 4993487650.txt       0           1      FALSE
418 5293553579.txt       1           0       TRUE
419 2533861274.txt       0           2      FALSE
420 3948970565.txt       0           3      FALSE
421 3043798646.txt       0           2      FALSE
422 3717000699.txt       0           2      FALSE
423 4687580471.txt       1           0       TRUE
424 4955080927.txt       1           0       TRUE
425 2485344911.txt       4           0       TRUE
426 1876661375.txt       1           1      FALSE
427 3975332815.txt       1           0       TRUE
428 5295780652.txt       0           2      FALSE
429 4249413251.txt       1           0       TRUE
430 2184336508.txt       2           0       TRUE
431 5724766197.txt       1           2      FALSE
432 3753809140.txt       0           3      FALSE
433 3825551720.txt       0           3      FALSE
434 4670535370.txt       0           2      FALSE
435 3767999714.txt       1           0       TRUE
436 2985361171.txt       1           0       TRUE
437 2911718987.txt       0           1      FALSE
438 4684782401.txt       0           3      FALSE
439 3883699984.txt       1           0       TRUE
440 3980284009.txt       0           2      FALSE
441 2025267103.txt       0           1      FALSE
442 6017647567.txt       0           2      FALSE
443 3352390018.txt       0           1      FALSE
444 3367301653.txt       0           2      FALSE
445 2354808494.txt       1           0       TRUE
446 5717940823.txt       0           1      FALSE
447 2659898620.txt       3           0       TRUE
448 3604940455.txt       0           1      FALSE
449 5931401968.txt       0           1      FALSE
450 4472045461.txt       1           1      FALSE
451 3719957591.txt       0           1      FALSE
452 3824733995.txt       0           1      FALSE
453 2104746380.txt       0           2      FALSE
454 6040256223.txt       0           2      FALSE
455 2097327864.txt       0           1      FALSE
456 5737603965.txt       0           1      FALSE
457 2852953658.txt       0           2      FALSE
458 4971259482.txt       0           1      FALSE
459 3228854755.txt       0           3      FALSE
460 5563210293.txt       1           0       TRUE
461 4597506514.txt       0           1      FALSE
462 6061420286.txt       5           0       TRUE
463 2942044002.txt       2           0       TRUE
464 3713596526.txt       0           2      FALSE
465 3494783632.txt       1           1       TRUE
466 5632332135.txt       0           1      FALSE
467 2811767874.txt       0           1      FALSE
468 4058039527.txt       1           3      FALSE
469 5632278883.txt       1           0       TRUE
470 5100157735.txt       2           1       TRUE
471 2655687797.txt       0           1      FALSE
472 3556874863.txt       0           2      FALSE
473 3351609336.txt       2           2      FALSE
474 3807087431.txt       0           2      FALSE
475 2200169298.txt       0           2      FALSE
476 5633793395.txt       1           0       TRUE
477 4896234552.txt       1           0       TRUE
478 4743045877.txt       0           1      FALSE
479 2257355467.txt       1           0       TRUE
480 3689854306.txt       0           1      FALSE
481 4876361479.txt       0           1      FALSE
482 4671653259.txt       0           1      FALSE
483 3338207765.txt       0           1      FALSE
484 3868981548.txt       0           1      FALSE
485 3506359093.txt       2           0       TRUE
486 2078846077.txt       0           4      FALSE
487 5108885462.txt       1           0       TRUE
488 4802824878.txt       0           1      FALSE
489 3919866058.txt       0           2      FALSE
490 1853094814.txt       0           1      FALSE
491 2068317033.txt       0           2      FALSE
492 5398071768.txt       1           0       TRUE
493 5369171860.txt       1           0       TRUE
494 2802293799.txt       0           1      FALSE
495 4141260432.txt       0           2      FALSE
496 2490433857.txt       2           0       TRUE
497 4279131553.txt       1           0       TRUE
498 4450384954.txt       1           0       TRUE
499 5364179112.txt       1           1      FALSE
500 4803982170.txt       1           0       TRUE
501 3095022918.txt       1           0       TRUE
502 2857324104.txt       1           0       TRUE
503 5771616091.txt       1           0       TRUE
504 6118105667.txt       0           1      FALSE
505 2676129674.txt       0           2      FALSE
506 4233522639.txt       1           1      FALSE
507 3267812060.txt       1           0       TRUE
508 5122385543.txt       0           1      FALSE
509 3346775146.txt       0           1      FALSE
510 5433564321.txt       0           1      FALSE
511 5229602409.txt       0           2      FALSE
512 2711181947.txt       0           1      FALSE
513 5470728140.txt       0           1      FALSE
514 3472639563.txt       0           1      FALSE
515 4992650539.txt       0           1      FALSE
516 3890147806.txt       0           1      FALSE
517 3362282687.txt       0           1      FALSE
518 3210997122.txt       0           2      FALSE
519 2247379983.txt       0           1      FALSE
520 2938455416.txt       1           0       TRUE
521 3117147983.txt       1           1      FALSE
522 5222434401.txt       1           2      FALSE
523 3726835756.txt       0           1      FALSE
524 5170483435.txt       0           2      FALSE
525 2940278684.txt       1           0       TRUE
526 5079343587.txt       0           2      FALSE
527 4326543154.txt       0           1      FALSE
528 2426032904.txt       0           1      FALSE
529 1926282768.txt       0           1      FALSE
530 3091243051.txt       0           1      FALSE
531 2814344398.txt       0           1      FALSE
532 4046392732.txt       0           1      FALSE
533 5151173850.txt       0           1      FALSE
534 4778532142.txt       0           1      FALSE
535 3801474701.txt       0           3      FALSE
536 3187393011.txt       0           1      FALSE
537 3322646288.txt       0           1      FALSE
538 1923460772.txt       3           0       TRUE
539 5606120245.txt       0           1      FALSE
540 3837565276.txt       0           1      FALSE
541 4936450412.txt       1           1       TRUE
542 5963108275.txt       0           2      FALSE
543 2000720372.txt       0           1      FALSE
544 4560881629.txt       0           1      FALSE
545 2489610766.txt       0           1      FALSE
546 5166972107.txt       0           1      FALSE
547 1985365284.txt       0           1      FALSE
548 5874346183.txt       0           1      FALSE
549 2827664411.txt       0           1      FALSE
550 5047562024.txt       0           1      FALSE
551 5540842059.txt       1           1       TRUE
552 3119384902.txt       0           1      FALSE
553 2298646158.txt       0           1      FALSE
554 2136785092.txt       0           1      FALSE
555 4783110985.txt       0           1      FALSE
556 3764417140.txt       0           1      FALSE
557 2776166662.txt       0           1      FALSE
558 2496579249.txt       0           1      FALSE
559 2015991184.txt       0           1      FALSE
560 5872820783.txt       0           1      FALSE
561 4003231551.txt       0           1      FALSE
562 5746861863.txt       0           1      FALSE
563 5245602895.txt       0           2      FALSE
564 3798569783.txt       0           1      FALSE
565 4392026498.txt       0           1      FALSE
566 5275663665.txt       0           1      FALSE
567 3839973538.txt       1           0       TRUE
568 5874277418.txt       0           1      FALSE
569 2931896573.txt       1           0       TRUE
570 1994681535.txt       0           2      FALSE
571 3481853682.txt       0           1      FALSE
572 5961315331.txt       1           0       TRUE
573 3553879670.txt       1           1      FALSE
574 2112574115.txt       2           0       TRUE
575 2921393155.txt       1           1      FALSE
576 4327802917.txt       0           1      FALSE
577 3678059152.txt       1           1      FALSE
578 2919511295.txt       1           1      FALSE
579 4152478864.txt       1           1      FALSE
580 4124658062.txt       1           1      FALSE
581 2267445956.txt       0           3      FALSE
582 3949533066.txt       0           1      FALSE
583 4042142247.txt       1           0       TRUE
584 3272956203.txt       0           1      FALSE
585 4411551879.txt       0           2      FALSE
586 2264098637.txt       1           0       TRUE
587 3343174960.txt       2           0       TRUE
588 4571087636.txt       0           1      FALSE
589 2654470534.txt       2           0       TRUE
590 3922257662.txt       1           0       TRUE
591 3306648300.txt       1           1      FALSE
592 5740380256.txt       1           0       TRUE
593 5643776650.txt       1           1       TRUE
594 3145570885.txt       2           0       TRUE
595 3154425729.txt       1           0       TRUE
596 1866028869.txt       0           1      FALSE
597 4246864928.txt       1           0       TRUE
598 5448948173.txt       1           0       TRUE
599 5942577726.txt       0           1      FALSE
600 3174214507.txt       0           1      FALSE
601 5633780267.txt       0           1      FALSE
602 4664767807.txt       0           3      FALSE
603 4870023995.txt       0           1      FALSE
604 5854754582.txt       0           2      FALSE
605 4535212533.txt       0           1      FALSE
606 3748443370.txt       0           1      FALSE
607 6083493049.txt       0           1      FALSE
608 1932153671.txt       0           1      FALSE
609 4352527702.txt       0           2      FALSE
610 4706504486.txt       0           1      FALSE
611 2008966018.txt       0           1      FALSE
612 4620124521.txt       2           0       TRUE
613 5519530557.txt       0           1      FALSE
614 4388629381.txt       0           1      FALSE
615 2491667689.txt       0           1      FALSE
616 4648700533.txt       0           1      FALSE
617 2904214128.txt       0           2      FALSE
618 2787912549.txt       1           0       TRUE
619 5293014036.txt       0           1      FALSE
620 2601258606.txt       0           1      FALSE
621 5786371305.txt       1           0       TRUE
622 5884920751.txt       0           1      FALSE
623 2388646096.txt       0           1      FALSE
624 6112855955.txt       1           0       TRUE
625 4848408226.txt       0           1      FALSE
626 4536461241.txt       1           0       TRUE
627 4246427886.txt       1           0       TRUE
628 2477996718.txt       0           1      FALSE
629 3565462612.txt       0           1      FALSE
630 2638365763.txt       1           0       TRUE
631 5807347149.txt       0           2      FALSE
632 4573718398.txt       0           1      FALSE
633 2458999947.txt       0           1      FALSE
634 4324336188.txt       0           1      FALSE
635 2713142037.txt       0           1      FALSE
636 4105778468.txt       1           0       TRUE
637 6049709141.txt       0           1      FALSE
638 3135982544.txt       0           2      FALSE
639 5502480617.txt       0           1      FALSE
640 3812491061.txt       0           1      FALSE
641 2620555968.txt       0           1      FALSE
642 5375796788.txt       0           1      FALSE
643 3792719007.txt       1           0       TRUE
644 5552496743.txt       2           0       TRUE
645 5777013666.txt       0           1      FALSE
646 6008415322.txt       1           0       TRUE
647 5232484831.txt       0           1      FALSE
648 3449991068.txt       0           1      FALSE
649 3461740509.txt       0           1      FALSE
650 3495094692.txt       0           1      FALSE
651 3594975886.txt       0           1      FALSE
652 5800342080.txt       0           1      FALSE
653 4198891782.txt       0           1      FALSE
654 4004569467.txt       0           1      FALSE
655 3775491224.txt       0           1      FALSE
656 4761534503.txt       0           1      FALSE
657 2177553493.txt       0           1      FALSE
658 2458076397.txt       0           1      FALSE
659 2864036901.txt       0           1      FALSE
660 5813587403.txt       1           0       TRUE
661 2782417965.txt       1           0       TRUE
662 2662590623.txt       0           1      FALSE
663 2143371155.txt       0           1      FALSE
664 3560569257.txt       0           1      FALSE
665 5464413059.txt       0           1      FALSE
666 2104665037.txt       0           1      FALSE
667 5206681464.txt       0           1      FALSE
668 6095635547.txt       0           1      FALSE
669 4746337520.txt       0           1      FALSE
670 3491382715.txt       0           1      FALSE
671 5065129551.txt       0           1      FALSE
672 2236890757.txt       1           0       TRUE
673 4328228837.txt       0           1      FALSE
674 3295016824.txt       0           1      FALSE
675 4033645760.txt       0           1      FALSE
676 1876610993.txt       0           1      FALSE
677 1892725699.txt       0           2      FALSE
678 5067523020.txt       0           1      FALSE
679 2012290954.txt       1           0       TRUE
680 3853939545.txt       0           1      FALSE
681 3210365895.txt       0           1      FALSE
682 5744096744.txt       1           0       TRUE
683 2331858795.txt       0           1      FALSE
684 3207205440.txt       0           1      FALSE
685 2187575441.txt       0           1      FALSE
686 2420480703.txt       0           1      FALSE
687 5269433503.txt       0           1      FALSE
688 2369745939.txt       0           1      FALSE
689 2755201307.txt       0           1      FALSE
