         filenames tabloid non_tabloid is_tabloid           fit
99  2438573239.txt       1           0       TRUE -4.719972e-01
100 2438688179.txt       0           1      FALSE -7.645921e-01
101 2458076397.txt       0           1      FALSE -5.198917e-01
102 2458999947.txt       0           1      FALSE -7.757206e-01
103 2460884815.txt       0           3      FALSE -6.998706e-01
104 2470634331.txt       1           3      FALSE -8.082883e-01
105 2471450702.txt       0           3      FALSE -6.787301e-01
106 2473760379.txt       3           1       TRUE -4.320203e-01
107 2477996718.txt       0           1      FALSE -5.199661e-01
108 2485344911.txt       4           0       TRUE -7.472491e-02
109 2489610766.txt       0           1      FALSE -6.932010e-01
110 2490433857.txt       2           0       TRUE -4.932163e-01
111 2491667689.txt       0           1      FALSE -5.358470e-01
112 2496579249.txt       0           1      FALSE -1.751876e-01
113 2500516658.txt       0           2      FALSE -4.704371e-01
114 2504542145.txt       1           0       TRUE -5.511327e-01
115 2533228238.txt       0           3      FALSE -7.148277e-01
116 2533861274.txt       0           2      FALSE -6.186959e-01
117 2548975314.txt       3           2       TRUE -5.324946e-01
118 2552650066.txt       0           1      FALSE -7.556610e-01
119 2559878140.txt       0           2      FALSE -5.974825e-01
120 2562463715.txt       1           0       TRUE -9.832835e-02
121 2576286411.txt       0           1      FALSE -6.852936e-01
122 2588501244.txt       1           0       TRUE -5.149374e-01
123 2600666171.txt       1           3      FALSE -3.999643e-01
124 2601258606.txt       0           1      FALSE -5.407726e-01
125 2619597691.txt       0           2      FALSE -7.129595e-01
126 2620555968.txt       0           1      FALSE -6.047996e-01
127 2631911956.txt       0           2      FALSE -7.961911e-01
128 2638365763.txt       1           0       TRUE -4.243807e-01
129 2652057237.txt       1           1      FALSE -5.976090e-01
130 2654470534.txt       2           0       TRUE -5.934801e-01
131 2655687797.txt       0           1      FALSE -1.908037e-01
132 2659898620.txt       3           0       TRUE -2.760065e-01
133 2662590623.txt       0           1      FALSE -1.018525e-01
134 2663949397.txt       2           2      FALSE -4.838574e-01
135 2667349368.txt       0           1      FALSE -6.725588e-01
136 2676129674.txt       0           2      FALSE -5.868358e-01
137 2683999762.txt       1           0       TRUE -7.082191e-01
138 2686235305.txt       0           2      FALSE -2.440181e-01
139 2690095779.txt       1           1      FALSE -5.376667e-01
140 2707268232.txt       1           1      FALSE -5.886235e-01
141 2711181947.txt       0           1      FALSE -4.649406e-01
142 2713142037.txt       0           1      FALSE -4.408311e-01
143 2735394657.txt       1           1      FALSE -6.409273e-01
144 2735614275.txt       0           3      FALSE -6.200652e-01
145 2755201307.txt       0           1      FALSE -5.969734e-01
146 2763188496.txt       0           2      FALSE -3.730083e-01
147 2776166662.txt       0           1      FALSE -7.637929e-01
148 2782417965.txt       1           0       TRUE  1.336841e-15
149 2787912549.txt       1           0       TRUE -4.887818e-01
150 2802293799.txt       0           1      FALSE -6.284779e-01
151 2811767874.txt       0           1      FALSE -6.183018e-01
152 2814344398.txt       0           1      FALSE -4.711526e-01
153 2821771041.txt       0           2      FALSE -4.526352e-01
154 2827664411.txt       0           1      FALSE -3.290448e-01
155 2827914259.txt       2           1       TRUE -5.583719e-01
156 2829514694.txt       0           1      FALSE -5.416762e-01
157 2833622132.txt       1           4      FALSE -6.904540e-01
158 2843630581.txt       0           4      FALSE -4.557050e-01
159 2847424164.txt       1           1      FALSE -4.648675e-01
160 2852953658.txt       0           2      FALSE -6.528035e-01
161 2856999007.txt       0           1      FALSE -5.938723e-01
162 2857324104.txt       1           0       TRUE -5.707808e-01
163 2860955973.txt       1           3      FALSE -3.992022e-01
164 2861544254.txt       0           2      FALSE -6.441593e-01
165 2862453369.txt       1           0       TRUE -4.829531e-01
166 2864036901.txt       0           1      FALSE -6.883594e-01
167 2886783050.txt       0           1      FALSE -5.408926e-01
168 2904214128.txt       0           2      FALSE -1.140211e-01
169 2911718987.txt       0           1      FALSE -6.972610e-01
170 2913417366.txt       1           2      FALSE -6.822698e-01
171 2913851711.txt       1           0       TRUE -7.581422e-01
172 2919511295.txt       1           1      FALSE -5.091148e-01
173 2921393155.txt       1           1      FALSE -5.729713e-01
174 2931896573.txt       1           0       TRUE -6.340762e-01
175 2935765304.txt       0           2      FALSE -7.189207e-01
176 2938455416.txt       1           0       TRUE -7.174062e-01
177 2940278684.txt       1           0       TRUE -5.223031e-01
178 2942044002.txt       2           0       TRUE -5.956760e-01
179 2953196977.txt       1           1      FALSE -2.233284e-16
180 2985361171.txt       1           0       TRUE -4.986054e-01
181 2989933533.txt       1           0       TRUE -3.434993e-01
182 2996052161.txt       0           1      FALSE -4.480567e-01
183 2996258397.txt       2           0       TRUE -5.649928e-01
184 3019414130.txt       0           3      FALSE -3.987275e-01
185 3026609436.txt       2           2      FALSE -4.893581e-01
186 3030757363.txt       1           0       TRUE -4.472712e-01
187 3035138958.txt       1           0       TRUE -4.858697e-01
188 3043798646.txt       0           2      FALSE -6.069243e-01
189 3066229433.txt       0           2      FALSE -6.422709e-01
190 3067148741.txt       0           1      FALSE -7.238865e-01
191 3072390224.txt       0           1      FALSE -5.828123e-01
192 3075009793.txt       1           2      FALSE -5.614348e-01
193 3091243051.txt       0           1      FALSE -4.293905e-01
194 3094839722.txt       1           2      FALSE -6.675253e-01
195 3095022918.txt       1           0       TRUE -6.022231e-01
196 3096416130.txt       1           0       TRUE -5.332350e-01
197 3097896386.txt       1           0       TRUE -8.332949e-01
198 3116994322.txt       0           1      FALSE -6.069878e-01
199 3117147983.txt       1           1      FALSE -3.634286e-01
200 3119384902.txt       0           1      FALSE -3.101021e-01
201 3119877441.txt       0           3      FALSE -6.063030e-01
202 3127172994.txt       1           3      FALSE -8.959536e-01
203 3135982544.txt       0           2      FALSE -5.779244e-01
204 3145570885.txt       2           0       TRUE -7.300482e-01
205 3145645483.txt       0           1      FALSE -7.033368e-01
206 3154425729.txt       1           0       TRUE -4.829877e-01
207 3165757024.txt       2           3      FALSE -6.183687e-01
208 3173649434.txt       0           2      FALSE -5.587301e-01
209 3173666430.txt       1           1      FALSE -3.810359e-01
210 3174214507.txt       0           1      FALSE -7.559851e-01
211 3187393011.txt       0           1      FALSE -6.517896e-01
212 3197541338.txt       0           1      FALSE -7.022714e-01
213 3198334700.txt       0           1      FALSE -9.216338e-01
214 3199137728.txt       1           0       TRUE -5.827208e-01
215 3207205440.txt       0           1      FALSE -7.392308e-01
216 3210365895.txt       0           1      FALSE -6.969889e-01
217 3210997122.txt       0           2      FALSE -2.694046e-01
218 3220071448.txt       1           0       TRUE -4.540655e-01
219 3223389557.txt       0           3      FALSE -4.024171e-01
220 3228854755.txt       0           3      FALSE -5.544292e-01
221 3259914714.txt       1           1      FALSE -6.216444e-01
222 3267812060.txt       1           0       TRUE -4.594268e-01
223 3272956203.txt       0           1      FALSE -4.921577e-01
224 3279950380.txt       0           2      FALSE  4.844194e-16
225 3286377097.txt       0           1      FALSE -5.493097e-01
226 3295016824.txt       0           1      FALSE -5.099440e-01
227 3306648300.txt       1           1      FALSE -5.560882e-01
228 3315641527.txt       2           1       TRUE -3.793298e-01
229 3320583740.txt       0           1      FALSE -7.243221e-01
230 3322646288.txt       0           1      FALSE -7.509707e-01
231 3329138381.txt       0           1      FALSE -2.561964e-01
232 3338207765.txt       0           1      FALSE -5.958606e-01
233 3339549204.txt       0           2      FALSE -7.055595e-01
234 3343174960.txt       2           0       TRUE -6.656336e-01
235 3343330524.txt       0           3      FALSE -6.546385e-01
236 3344913358.txt       0           1      FALSE -6.221766e-01
237 3346775146.txt       0           1      FALSE -3.635696e-01
238 3351609336.txt       2           2      FALSE -2.340335e-01
239 3352390018.txt       0           1      FALSE -6.695308e-01
240 3353530443.txt       0           3      FALSE -6.382033e-01
241 3354749758.txt       0           1      FALSE -3.627779e-01
242 3362282687.txt       0           1      FALSE -3.999680e-01
243 3367301653.txt       0           2      FALSE -6.096315e-01
244 3377290147.txt       1           0       TRUE -4.932574e-01
245 3378986017.txt       2           0       TRUE -1.018525e-01
246 3383075344.txt       2           0       TRUE -6.333753e-01
247 3386594070.txt       2           0       TRUE -5.067912e-01
248 3387767354.txt       0           2      FALSE -5.577063e-01
249 3391511266.txt       0           1      FALSE -6.504185e-01
250 3413464681.txt       0           2      FALSE -8.029568e-01
251 3413991136.txt       1           0       TRUE -6.556017e-01
252 3429083801.txt       0           2      FALSE -4.226614e-01
253 3449991068.txt       0           1      FALSE -4.464706e-01
254 3451562549.txt       1           1      FALSE -5.125833e-01
255 3461740509.txt       0           1      FALSE -8.125547e-01
256 3472639563.txt       0           1      FALSE -6.318691e-01
257 3476069885.txt       0           3      FALSE -5.994243e-01
258 3481853682.txt       0           1      FALSE -8.073419e-01
259 3487698093.txt       1           0       TRUE -5.065911e-01
260 3491382715.txt       0           1      FALSE -7.247980e-01
261 3491855227.txt       0           1      FALSE -6.873862e-01
262 3494783632.txt       1           1      FALSE -5.243239e-01
263 3495094692.txt       0           1      FALSE -3.688556e-01
264 3498282170.txt       2           0       TRUE -5.184687e-01
265 3502416177.txt       1           0       TRUE  4.849251e-16
266 3506359093.txt       2           0       TRUE -5.862328e-01
267 3507785728.txt       0           5      FALSE -6.478447e-01
268 3533522332.txt       0           1      FALSE -7.658825e-01
269 3544518750.txt       0           1      FALSE -7.293679e-01
270 3553879670.txt       1           1      FALSE -6.610807e-01
271 3556874863.txt       0           2      FALSE -5.807595e-01
272 3560569257.txt       0           1      FALSE -6.167283e-01
273 3565462612.txt       0           1      FALSE -5.126891e-01
274 3566473263.txt       2           0       TRUE -3.151451e-01
275 3574657569.txt       2           1       TRUE -5.910820e-01
276 3583133065.txt       1           1      FALSE -4.975247e-01
277 3594975886.txt       0           1      FALSE -5.697957e-01
278 3600388659.txt       1           0       TRUE -5.069448e-01
279 3604940455.txt       0           1      FALSE -1.746416e-01
280 3622996067.txt       0           5      FALSE -6.655625e-01
281 3646749369.txt       1           2      FALSE -7.511453e-01
282 3657620177.txt       1           1      FALSE -5.704970e-01
283 3670130225.txt       0           1      FALSE -6.165419e-01
284 3678059152.txt       1           1      FALSE -4.995359e-01
285 3689854306.txt       0           1      FALSE -5.325383e-01
286 3699557163.txt       0           2      FALSE -5.779236e-01
287 3707718569.txt       0           3      FALSE -5.798653e-01
288 3713596526.txt       0           2      FALSE -5.100750e-01
289 3717000699.txt       0           2      FALSE -3.793297e-01
290 3718196366.txt       0           2      FALSE -6.205957e-01
291 3719957591.txt       0           1      FALSE -6.266946e-01
292 3726835756.txt       0           1      FALSE -5.505259e-01
293 3734025271.txt       1           1      FALSE -3.002009e-01
294 3739929759.txt       2           1       TRUE -5.604667e-01
295 3748443370.txt       0           1      FALSE -5.606961e-01
296 3753809140.txt       0           3      FALSE -3.382715e-01
297 3757283597.txt       3           0       TRUE -5.805358e-01
298 3764417140.txt       0           1      FALSE -7.539553e-01
299 3767999714.txt       1           0       TRUE -2.629695e-01
300 3769454929.txt       0           3      FALSE -5.339028e-01
301 3770979065.txt       0           1      FALSE -4.966540e-01
302 3772333441.txt       0           1      FALSE -7.169330e-01
303 3773921881.txt       0           2      FALSE -5.689972e-01
304 3775491224.txt       0           1      FALSE -4.548378e-01
305 3780255610.txt       1           1      FALSE -5.516136e-01
306 3792719007.txt       1           0       TRUE -3.603319e-01
307 3797755979.txt       2           0       TRUE -5.550816e-01
308 3798569783.txt       0           1      FALSE -4.351035e-01
309 3801474701.txt       0           3      FALSE -7.642339e-01
310 3807087431.txt       0           2      FALSE -5.505584e-01
311 3810234041.txt       1           1      FALSE -6.701311e-01
312 3812491061.txt       0           1      FALSE -6.397360e-01
313 3814465425.txt       0           2      FALSE -5.459315e-01
314 3815572686.txt       0           5      FALSE -6.066594e-01
315 3824733995.txt       0           1      FALSE -4.702896e-01
316 3825551720.txt       0           3      FALSE -3.555203e-01
317 3833663658.txt       1           1      FALSE -2.615870e-01
318 3837565276.txt       0           1      FALSE -6.930141e-01
319 3839973538.txt       1           0       TRUE -5.834487e-01
320 3845596541.txt       3           1       TRUE -4.523632e-01
321 3852127214.txt       1           1      FALSE -1.809355e-01
322 3853939545.txt       0           1      FALSE -7.799923e-01
323 3868981548.txt       0           1      FALSE -5.337972e-01
324 3883699984.txt       1           0       TRUE -6.434628e-01
325 3890147806.txt       0           1      FALSE -5.383737e-01
326 3890950205.txt       1           1      FALSE -4.645412e-01
327 3901218825.txt       1           1      FALSE -5.057624e-01
328 3913609079.txt       0           1      FALSE -5.502606e-01
329 3917011491.txt       1           2      FALSE -8.449113e-01
330 3919866058.txt       0           2      FALSE  1.661101e-15
331 3922257662.txt       1           0       TRUE -2.281365e-01
332 3924497222.txt       1           6      FALSE -7.832551e-01
333 3929386825.txt       2           1       TRUE -6.450900e-01
334 3929840651.txt       0           2      FALSE -7.804171e-01
335 3938173941.txt       2           0       TRUE -4.942578e-01
336 3944591013.txt       1           2      FALSE -6.715095e-01
337 3944739540.txt       0           1      FALSE -7.058787e-01
338 3948970565.txt       0           3      FALSE -5.589399e-01
339 3949533066.txt       0           1      FALSE -6.031100e-01
340 3952487384.txt       2           0       TRUE -5.259826e-01
341 3957809462.txt       1           3      FALSE -4.834623e-01
342 3961516189.txt       4           1       TRUE -5.348000e-01
343 3961600748.txt       1           1      FALSE -5.634059e-01
344 3968765149.txt       1           0       TRUE -6.357144e-01
345 3968966542.txt       1           2      FALSE -4.871270e-01
346 3975332815.txt       1           0       TRUE -5.404144e-01
347 3976393772.txt       2           0       TRUE -6.574236e-01
348 3977748813.txt       0           1      FALSE -7.225534e-01
349 3980284009.txt       0           2      FALSE -6.013725e-01
350 3981597783.txt       0           1      FALSE -6.521901e-01
351 3998830794.txt       3           0       TRUE -6.911615e-01
352 4003231551.txt       0           1      FALSE -5.988894e-01
353 4004569467.txt       0           1      FALSE -4.480577e-01
354 4004649251.txt       0           1      FALSE -5.666561e-01
355 4008952819.txt       3           0       TRUE -4.390812e-01
356 4011979336.txt       1           1      FALSE -5.210654e-01
357 4020861971.txt       1           1      FALSE -6.757993e-01
358 4022858068.txt       0           1      FALSE -6.360796e-01
359 4029146163.txt       0           2      FALSE -6.443615e-01
360 4033645760.txt       0           1      FALSE -6.654721e-01
361 4037959625.txt       1           2      FALSE -4.582489e-01
362 4039310712.txt       1           0       TRUE -5.827196e-01
363 4040201952.txt       0           2      FALSE -7.617749e-01
364 4041746998.txt       1           2      FALSE -5.938027e-01
365 4042142247.txt       1           0       TRUE -5.979445e-01
366 4046392732.txt       0           1      FALSE -5.100750e-01
367 4047220285.txt       2           0       TRUE -5.770126e-01
368 4047767743.txt       2           1       TRUE -4.588209e-01
369 4052005545.txt       1           1      FALSE -4.970842e-01
370 4056633744.txt       1           0       TRUE -3.707640e-01
371 4058039527.txt       1           3      FALSE -5.411205e-01
372 4058239033.txt       1           0       TRUE -3.711448e-01
373 4058772900.txt       0           2      FALSE -8.212277e-01
374 4074931869.txt       0           2      FALSE -5.839273e-01
375 4077698866.txt       1           0       TRUE -7.322944e-01
376 4090424355.txt       0           1      FALSE -6.936789e-01
377 4105778468.txt       1           0       TRUE -6.324633e-01
378 4108768571.txt       2           0       TRUE -4.070445e-01
379 4119764154.txt       0           3      FALSE -4.583305e-01
380 4124658062.txt       1           1      FALSE -5.520097e-01
381 4127825933.txt       1           1      FALSE -5.547857e-01
382 4130359723.txt       3           0       TRUE -8.437681e-01
383 4136453249.txt       1           1      FALSE -5.323299e-01
384 4141260432.txt       0           2      FALSE -5.545067e-01
385 4141724306.txt       1           1      FALSE -5.339298e-01
386 4152478864.txt       1           1      FALSE -3.604749e-01
387 4154827762.txt       0           2      FALSE -7.033358e-01
388 4171701643.txt       3           2       TRUE -7.948177e-01
389 4173571299.txt       0           2      FALSE -6.577823e-01
390 4181183083.txt       0           3      FALSE -7.147413e-01
391 4183266437.txt       0           2      FALSE -3.685642e-01
392 4198891782.txt       0           1      FALSE -7.588357e-01
393 4207351676.txt       0           2      FALSE -6.684155e-01
394 4210087698.txt       0           1      FALSE -6.137104e-01
395 4211504436.txt       1           0       TRUE -2.160488e-01
396 4224034739.txt       0           2      FALSE -6.606276e-01
397 4233522639.txt       1           1      FALSE -1.863305e-01
398 4246427886.txt       1           0       TRUE -5.692741e-01
399 4246864928.txt       1           0       TRUE -3.207052e-01
400 4249413251.txt       1           0       TRUE -2.549103e-01
401 4254904078.txt       1           0       TRUE -6.053029e-01
402 4275068396.txt       2           1       TRUE -6.091891e-01
403 4279131553.txt       1           0       TRUE -6.727950e-01
404 4290437889.txt       0           1      FALSE -6.283793e-01
405 4293436236.txt       3           2       TRUE -5.190580e-01
406 4310119873.txt       0           1      FALSE -3.377801e-01
407 4323211023.txt       0           4      FALSE -4.400259e-01
408 4324336188.txt       0           1      FALSE -5.493104e-01
409 4326543154.txt       0           1      FALSE -1.237717e-01
410 4327802917.txt       0           1      FALSE -5.528181e-01
411 4328228837.txt       0           1      FALSE -6.560724e-01
412 4352527702.txt       0           2      FALSE -5.900343e-01
413 4370667993.txt       2           0       TRUE -4.655274e-01
414 4374438032.txt       0           1      FALSE -4.823961e-01
415 4377171238.txt       1           2      FALSE -7.057763e-01
416 4388629381.txt       0           1      FALSE -6.593631e-01
417 4392026498.txt       0           1      FALSE -6.501217e-01
418 4396763851.txt       1           0       TRUE -6.934938e-01
419 4397177210.txt       2           1       TRUE -5.150890e-01
420 4408238626.txt       0           3      FALSE -6.564552e-01
421 4409609238.txt       0           3      FALSE -5.443134e-01
422 4411551879.txt       0           2      FALSE -5.284929e-01
423 4417860210.txt       0           2      FALSE -7.228006e-01
424 4425213959.txt       0           1      FALSE -7.018986e-01
425 4426647098.txt       0           2      FALSE -6.440122e-01
426 4429567421.txt       1           1      FALSE -6.955187e-01
427 4431510690.txt       0           1      FALSE -6.067308e-01
428 4432481966.txt       0           2      FALSE -4.755774e-01
429 4438839576.txt       1           1      FALSE -5.029382e-01
430 4439343956.txt       1           0       TRUE -8.023516e-01
431 4442918884.txt       0           1      FALSE -6.856180e-01
432 4450384954.txt       1           0       TRUE -3.213957e-01
433 4450666183.txt       1           0       TRUE -3.999302e-01
434 4460597447.txt       0           1      FALSE -5.346180e-01
435 4462343414.txt       0           2      FALSE -6.687651e-01
436 4464393753.txt       0           1      FALSE -6.152330e-01
437 4471500181.txt       0           2      FALSE -5.928019e-01
438 4472045461.txt       1           1      FALSE -5.671527e-01
439 4472572614.txt       0           3      FALSE -7.240451e-01
440 4486639164.txt       2           0       TRUE -4.987314e-01
441 4501704920.txt       1           0       TRUE -6.687303e-01
442 4504246362.txt       0           2      FALSE -7.059990e-01
443 4508324632.txt       0           3      FALSE -7.975134e-01
444 4510358957.txt       0           2      FALSE -5.439728e-01
445 4515670555.txt       0           2      FALSE -7.161358e-01
446 4529982836.txt       3           1       TRUE -4.702920e-01
447 4532601111.txt       2           1       TRUE -6.958944e-01
448 4535212533.txt       0           1      FALSE -5.980830e-01
449 4536461241.txt       1           0       TRUE -6.459865e-01
450 4539580179.txt       2           0       TRUE -4.119602e-01
451 4571087636.txt       0           1      FALSE -9.680288e-01
452 4573718398.txt       0           1      FALSE -6.167318e-01
453 4592174208.txt       0           2      FALSE -5.963509e-01
454 4593502788.txt       0           1      FALSE -3.987284e-01
455 4594224559.txt       0           2      FALSE -6.038834e-01
456 4594614275.txt       1           1      FALSE -6.471081e-01
457 4597506514.txt       0           1      FALSE -8.411388e-01
458 4619661989.txt       0           2      FALSE -2.978787e-01
459 4620124521.txt       2           0       TRUE -6.341201e-01
460 4622097724.txt       0           2      FALSE -6.793344e-01
461 4648700533.txt       0           1      FALSE  5.191057e-16
462 4650182810.txt       1           3      FALSE -5.291155e-01
463 4664767807.txt       0           3      FALSE -6.158138e-01
464 4670535370.txt       0           2      FALSE -5.384199e-01
465 4671653259.txt       0           1      FALSE -6.939067e-01
466 4673667464.txt       0           3      FALSE -7.449111e-01
467 4679833922.txt       0           1      FALSE -6.128075e-01
468 4684782401.txt       0           3      FALSE -5.908352e-01
469 4687580471.txt       1           0       TRUE -4.541652e-01
470 4698184288.txt       1           1      FALSE -6.548889e-01
471 4702839784.txt       3           0       TRUE -4.338879e-01
472 4705639661.txt       0           1      FALSE -7.065339e-01
473 4706504486.txt       0           1      FALSE -7.014567e-01
474 4739471337.txt       3           0       TRUE -6.829337e-01
475 4742097967.txt       1           2      FALSE -4.290842e-01
476 4743045877.txt       0           1      FALSE -6.633426e-01
477 4746337520.txt       0           1      FALSE -4.860861e-01
478 4748660891.txt       0           1      FALSE -1.969304e-01
479 4757475162.txt       0           2      FALSE -9.123897e-01
480 4761534503.txt       0           1      FALSE -6.767987e-01
481 4761951087.txt       1           0       TRUE -6.320505e-01
482 4778532142.txt       0           1      FALSE -4.887415e-01
483 4781828169.txt       0           2      FALSE -7.267359e-01
484 4783110985.txt       0           1      FALSE -4.364640e-01
485 4786590096.txt       0           1      FALSE -6.059676e-01
486 4792085147.txt       0           1      FALSE -4.808227e-01
487 4793264246.txt       1           1      FALSE -4.764855e-01
488 4794330105.txt       2           1       TRUE -7.481312e-01
489 4802824878.txt       0           1      FALSE  2.354996e-16
490 4802982543.txt       2           0       TRUE -5.942154e-01
491 4803982170.txt       1           0       TRUE -2.999532e-01
492 4813251126.txt       0           1      FALSE -5.676099e-01
493 4832971950.txt       0           2      FALSE -6.778941e-01
494 4834576648.txt       1           0       TRUE -3.793298e-01
495 4835050862.txt       2           0       TRUE -6.613832e-01
496 4848408226.txt       0           1      FALSE -1.697797e-01
497 4866474762.txt       1           1      FALSE -5.798536e-01
498 4870023995.txt       0           1      FALSE -5.610667e-01
499 4876361479.txt       0           1      FALSE -5.939281e-01
500 4887854710.txt       1           0       TRUE -5.498387e-01
501 4896234552.txt       1           0       TRUE -5.710421e-01
502 4898985968.txt       1           1      FALSE -5.046251e-01
503 4920114873.txt       2           0       TRUE -1.870564e-01
504 4931163397.txt       3           0       TRUE -3.743089e-01
505 4936450412.txt       1           1      FALSE  6.684207e-16
506 4940028855.txt       0           1      FALSE -5.912872e-01
507 4940418168.txt       2           0       TRUE -6.245360e-01
508 4940582277.txt       1           0       TRUE -1.863305e-01
509 4947209925.txt       3           0       TRUE -5.398100e-01
510 4955080927.txt       1           0       TRUE -3.090230e-01
511 4958048138.txt       2           2      FALSE -4.943435e-01
512 4964071475.txt       2           5      FALSE -5.329570e-01
513 4971259482.txt       0           1      FALSE -4.921577e-01
514 4974772259.txt       1           1      FALSE -8.233979e-01
515 4990125249.txt       2           1       TRUE -6.334094e-01
516 4992493245.txt       0           1      FALSE -5.480844e-01
